Key,Value
MCDONALD'S,"Restaurant, fast food"
STARBUCKS,"Restaurant, fast food"
ROLL PLAY TYSONS,Restaurant
UBER   EATS,"Restaurant, fast food"
UBER   EATS,"Restaurant, fast food"
UBER   EATS,"Restaurant, fast food"
TST* SHIP GARDEN,Restaurant
DAVE & BUSTER'S,Restaurant
SQ *SOUTH BLOCK - GEORGET,Restaurant
VITGOEL ANNANDALE,Restaurant
TST* Richard Sandoval Res,Restaurant
SISTERS THAI,Restaurant
DCA SAYSIBON PIER C,Restaurant
GIANT,Groceries
LIDL,Groceries
DOLLAR TREE,Groceries
COSTCO,Groceries
GOOD FORTUNE SUPERMARKET,Groceries
WAL-MART,Groceries
K MARKET,Groceries
*WEEE,Groceries
FAREWAY STORES,Groceries
TMOBILE,"Utilities, Phone service"
WASHINGTON GAS,"Utilities, Gas"
DOMINION ENERGY,"Utilities, Electric"
VERIZON,"Utilities, Internet"
IPHONE,"Utilities, Phone financing"
SHELL OIL,"Vehicle, Fuel"
BANK OF AMERICA ONLINE PMT,"Vehicle, Vehicle Payment"
NATIONWIDE EDI,"Vehicle, Auto insurance"
BP#,"Vehicle, Fuel"
BMW BANK BMWFS PYMT,"Vehicle, Vehicle Payment"
CASEYS,"Vehicle, Fuel"
AMERICAN AIR,"Transportation, Airline tickets"
EXPEDIA,Transportation
LAZ PARKING,"Transportation, Parking"
COLPARK LOC,"Transportation, Parking"
DOLLAR  #,"Transportation, Rental car"
HULU,"Subscription, Streaming"
APPLE.COM/BILL,"Subscription, iPhone backup"
Spotify,"Subscription, Streaming"
Amazon Prime,Subscription
HOME DEPOT,"Household, Home improvement"
LINODE,"Automation, Cloud container"
GRACE COMMUNITY,Charity
COURSRA,"Education, Coursera"
*NU ANDROIDS,"Entertainment, Concert"
SHOTGUN* FLASH,"Entertainment, Concert"
DC IMPROV COMEDY,Entertainment
AFTERPAY,Financing
TIBURON LOCKERSS,"Fitness, Snow sports"
WHITE TAIL,"Fitness, Snow sports"
SoulCycle,Fitness
PLANET FIT,Fitness
NEWSTRESSCLINIC,"Health, Medication"
AIRBNB,"Lodging, Airbnb"
PENDER,Pets
CHEWY.COM,Pets
Acorns,Investment
